2023-04-14 18:13:37.515 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.515 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.516 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.516 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.516 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.516 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.517 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.517 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.517 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.517 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.517 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.518 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.518 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.518 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.518 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.518 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.519 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.519 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.519 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.519 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.519 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.520 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.520 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.520 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.520 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.520 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.521 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.521 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.521 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.521 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.521 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.522 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.522 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.522 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.522 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.522 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.523 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.523 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.523 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.523 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.523 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.524 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.524 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.524 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.524 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.525 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
2023-04-14 18:13:37.525 | INFO     | rangefinders_i2c.SensorManagment:setAddress:30 - b'206mm\r\r\n'
